Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-03 00:00:00-05:00,241.33006049146138,243.50648704754988,237.93364666313417,240.11984252929688,1083200,0.0,0.0
2023-01-04 00:00:00-05:00,243.00871458576606,247.2932564757017,240.871320849131,246.4246368408203,1368300,0.0,0.0
2023-01-05 00:00:00-05:00,244.79476444301682,246.15137301980027,242.2376924228554,243.81878662109375,1408500,0.0,0.0
2023-01-06 00:00:00-05:00,245.76100069162686,250.47499078283224,242.32555420091512,250.09434509277344,1402100,0.0,0.0
2023-01-09 00:00:00-05:00,252.40740762798694,257.83384253897157,251.24599150789837,254.73023986816406,2396600,0.0,0.0
2023-01-10 00:00:00-05:00,254.73022187682702,258.61462448839626,254.49599672107752,257.47271728515625,2092600,0.0,0.0
2023-01-11 00:00:00-05:00,256.6821531890227,257.40436720688666,249.4794324899131,252.59280395507812,1590500,0.0,0.0
2023-01-12 00:00:00-05:00,251.98772069891191,252.01699884271025,248.8841034261297,250.19192504882812,938700,0.0,0.0
2023-01-13 00:00:00-05:00,249.95768334358107,253.90064236249924,248.08382247234974,253.57858276367188,752100,0.0,0.0
2023-01-17 00:00:00-05:00,253.34430972058544,253.34430972058544,249.2647295762661,250.24070739746094,1294100,0.0,0.0
2023-01-18 00:00:00-05:00,250.0553080973634,250.0553080973634,245.31206944561586,245.96597290039062,2007100,0.0,0.0
2023-01-19 00:00:00-05:00,244.4336629277387,248.11310379337903,242.82330534402737,247.22496032714844,1038100,0.0,0.0
2023-01-20 00:00:00-05:00,248.55226439143422,250.4261399792535,246.08304175027865,250.06503295898438,1157100,0.0,0.0
2023-01-23 00:00:00-05:00,250.338341541597,256.37964737130494,249.73323998447964,251.30455017089844,1493800,0.0,0.0
2023-01-24 00:00:00-05:00,251.3630713746753,252.4073747726829,247.71292392066147,249.6063232421875,941500,0.0,0.0
2023-01-25 00:00:00-05:00,245.6536390523467,247.89839124283637,243.31129800537386,246.8736114501953,1178600,0.0,0.0
2023-01-26 00:00:00-05:00,248.083796892496,248.63034207229114,244.84354348051164,246.3465576171875,1099000,0.0,0.0
2023-01-27 00:00:00-05:00,245.39011573549567,249.76250744076432,243.51623995848374,248.06430053710938,1041000,0.0,0.0
2023-01-30 00:00:00-05:00,245.80979282874932,248.05454496202967,243.28201365896737,243.54551696777344,1209700,0.0,0.0
2023-01-31 00:00:00-05:00,243.10631974542363,247.8593420146106,242.97945275130093,247.7129364013672,1727700,0.0,0.0
2023-02-01 00:00:00-05:00,263.1431337432563,273.72272968486357,260.58607663319634,272.2490234375,4669300,0.0,0.0
2023-02-02 00:00:00-05:00,269.79935946963093,275.7723400368136,269.39920491732164,275.69427490234375,2020400,0.0,0.0
2023-02-03 00:00:00-05:00,273.6154226197909,277.1777361593079,273.34214998678783,276.3384094238281,1535300,0.0,0.0
2023-02-06 00:00:00-05:00,274.4059551985851,274.44500265498857,264.23625218045675,264.95849609375,1790000,0.0,0.0
2023-02-07 00:00:00-05:00,262.30379106707557,267.1446323941088,259.09281591222026,265.9051513671875,1851500,0.0,0.0
2023-02-08 00:00:00-05:00,264.5583374150979,266.3150857273733,261.1814324246067,261.77679443359375,1368200,0.0,0.0
2023-02-09 00:00:00-05:00,263.123635170841,263.4652333763457,256.9164005367662,258.0094909667969,1132100,0.0,0.0
2023-02-10 00:00:00-05:00,257.2384979862482,258.5267959411638,255.5500455248294,257.989990234375,1061100,0.0,0.0
2023-02-13 00:00:00-05:00,258.7902374321332,261.025234591875,257.78498164329744,260.5762634277344,1087600,0.0,0.0
2023-02-14 00:00:00-05:00,259.2099900262338,262.37214917348183,256.29182537576685,258.3023376464844,799000,0.0,0.0
2023-02-15 00:00:00-05:00,256.4283872987191,259.4148768635099,255.86233330271975,258.9073791503906,999400,0.0,0.0
2023-02-16 00:00:00-05:00,254.88637284716384,259.31732052094105,253.09057721980665,256.8871154785156,1009700,0.0,0.0
2023-02-17 00:00:00-05:00,255.2572992818983,257.1604385471609,254.2910607901947,256.83837890625,851100,0.0,0.0
